muscle,W_conc_total,W_ecc_total,W_conc_active,W_ecc_active
Biceps_Long_Head,4.71059807222482e-06,3.58702998062436e-06,0,0
Biceps_Short_Head,5.4975973735169e-05,1.32799153478961e-05,5.4975973735169e-05,1.32799153478961e-05
Brachialis_Proximal_Head,8.30568685456366e-06,1.19297333650088e-05,8.30568685456366e-06,1.19297333650088e-05
Brachialis_Distal_Head,6.12127445435267e-06,8.73093413458627e-06,6.12127445435267e-06,8.73093413458627e-06
Triceps_Long_Head,5.79853476759764e-06,0.00017050925369998,5.79853476759764e-06,0.00017050925369998
Triceps_Lat_Head,1.18386119765555e-05,3.05634604182383e-05,1.18386119765555e-05,3.05634604182383e-05
Anconeus,2.79843416626082e-06,4.20016716830293e-06,2.7973622951217e-06,4.19909557809498e-06
